JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName
1126|1126|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:55:54|2017-01-01T01:55:54|2017-01-01T02:00:41|2017-01-01T02:01:23|00:00:42|0:0|COMPLETED|2|24|24|2800Mn|00:05:00|m[1,3]|normal|2|1126
1063|1063|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:03:53|2017-01-01T01:03:53|2017-01-01T02:00:41|2017-01-01T02:05:04|00:04:23|0:0|COMPLETED|1|1|1|2800Mn|00:21:00|g1|normal|2|1063
1060|1060|beocat|normal|account1|users|100|user3|1003|2017-01-01T01:01:40|2017-01-01T01:01:40|2017-01-01T02:00:41|2017-01-01T02:05:37|00:04:56|0:0|COMPLETED|1|6|6|2800Mn|00:05:00|m2|normal|2|1060
1041|1041|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:48:47|2017-01-01T00:48:47|2017-01-01T02:00:41|2017-01-01T02:06:26|00:05:45|0:0|COMPLETED|1|1|1|2800Mn|00:08:00|g1|normal|2|1041
1122|1122|beocat|normal|account2|users|100|user4|1004|2017-01-01T01:50:54|2017-01-01T01:50:54|2017-01-01T02:00:41|2017-01-01T02:07:03|00:06:22|0:0|COMPLETED|1|6|6|2800Mn|00:17:00|b2|normal|2|1122
1094|1094|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:24:11|2017-01-01T01:24:11|2017-01-01T01:40:41|2017-01-01T02:09:41|00:29:00|0:0|COMPLETED|1|1|1|2800Mn|00:29:00|m2|normal|2|1094
1146|1146|beocat|normal|account1|users|100|user3|1003|2017-01-01T02:10:26|2017-01-01T02:10:26|2017-01-01T02:10:26|2017-01-01T02:10:27|00:00:01|0:0|COMPLETED|8|96|96|2800Mn|00:21:00|b[2,4-10]|normal|1|1146
1116|1116|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:42:26|2017-01-01T01:42:26|2017-01-01T02:00:41|2017-01-01T02:13:43|00:13:02|0:0|COMPLETED|1|12|12|2800Mn|00:21:00|b1|normal|2|1116
1129|1129|beocat|normal|account1|users|100|user1|1001|2017-01-01T01:57:03|2017-01-01T01:57:03|2017-01-01T02:00:41|2017-01-01T02:14:16|00:13:35|0:0|COMPLETED|4|48|48|2800Mn|00:28:00|n[1-4]|normal|2|1129
1068|1068|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:07:12|2017-01-01T01:07:12|2017-01-01T02:14:16|2017-01-01T02:19:05|00:04:49|0:0|COMPLETED|1|1|1|2800Mn|00:16:00|n1|normal|1|1068
1156|1156|beocat|normal|account1|users|100|user1|1001|2017-01-01T02:17:09|2017-01-01T02:17:09|2017-01-01T02:17:09|2017-01-01T02:20:51|00:03:42|0:0|COMPLETED|8|96|96|2800Mn|00:05:00|b[1-2,4-9]|normal|1|1156
1096|1096|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:27:19|2017-01-01T01:27:19|2017-01-01T02:14:16|2017-01-01T02:25:16|00:11:00|0:0|COMPLETED|1|6|6|2800Mn|00:11:00|n1|normal|1|1096
1134|1134|beocat|normal|account2|users|100|user4|1004|2017-01-01T02:01:08|2017-01-01T02:01:08|2017-01-01T02:20:41|2017-01-01T02:25:23|00:04:42|0:0|COMPLETED|1|6|6|2800Mn|00:12:00|n3|normal|2|1134
1108|1108|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:34:55|2017-01-01T01:34:55|2017-01-01T02:14:16|2017-01-01T02:26:56|00:12:40|0:0|COMPLETED|1|6|6|2800Mn|00:30:00|n3|normal|1|1108
1158|1158|beocat|normal|account1|users|100|user1|1001|2017-01-01T02:17:52|2017-01-01T02:17:52|2017-01-01T02:20:51|2017-01-01T02:27:11|00:06:20|0:0|COMPLETED|8|96|96|2800Mn|00:07:00|b[1-2,4-9]|normal|1|1158
1120|1120|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:48:56|2017-01-01T01:48:56|2017-01-01T02:14:16|2017-01-01T02:27:13|00:12:57|0:0|COMPLETED|1|12|12|2800Mn|00:28:00|n2|normal|1|1120
1113|1113|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:39:50|2017-01-01T01:39:50|2017-01-01T02:20:41|2017-01-01T02:27:24|00:06:43|0:0|COMPLETED|1|1|1|2800Mn|00:18:00|n1|normal|2|1113
1123|1123|beocat|normal|account2|users|100|user5|1005|2017-01-01T01:53:43|2017-01-01T01:53:43|2017-01-01T02:20:41|2017-01-01T02:27:41|00:07:00|0:0|COMPLETED|1|1|1|2800Mn|00:07:00|n1|normal|2|1123
