###############################################################################
t: Sun Jan  1 00:00:41 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1061    normal     1061    user2  R       7:10      3 n[1-3]
###############################################################################
t: Sun Jan  1 01:15:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1065    normal     1065    user5 PD       0:00      1 (Priority)
              1066    normal     1066    user4 PD       0:00      4 (Resources)
              1067    normal     1067    user5 PD       0:00      1 (Priority)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1069    normal     1069    user3 PD       0:00      1 (Priority)
              1070    normal     1070    user4 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1072    normal     1072    user1 PD       0:00      3 (Priority)
              1073    normal     1073    user1 PD       0:00      1 (Priority)
              1074    normal     1074    user2 PD       0:00      1 (Priority)
              1075    normal     1075    user2 PD       0:00      1 (Priority)
              1076    normal     1076    user5 PD       0:00      1 (Priority)
              1077    normal     1077    user1 PD       0:00      1 (Priority)
              1078    normal     1078    user3 PD       0:00      1 (Priority)
              1079    normal     1079    user2 PD       0:00      1 (Priority)
              1080    normal     1080    user4 PD       0:00      4 (Priority)
              1045    normal     1045    user2  R      13:38      1 g1
              1046    normal     1046    user1  R      14:20      1 n4
              1057    normal     1057    user4  R      14:24      1 n4
              1061    normal     1061    user2  R      12:10      3 n[1-3]
###############################################################################
t: Sun Jan  1 01:20:01 2017
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
              1041    normal     1041    user1 PD       0:00      1 (Priority)
              1060    normal     1060    user3 PD       0:00      1 (Priority)
              1063    normal     1063    user1 PD       0:00      1 (Priority)
              1065    normal     1065    user5 PD       0:00      1 (Priority)
              1066    normal     1066    user4 PD       0:00      4 (Resources)
              1067    normal     1067    user5 PD       0:00      1 (Priority)
              1068    normal     1068    user5 PD       0:00      1 (Priority)
              1069    normal     1069    user3 PD       0:00      1 (Priority)
              1070    normal     1070    user4 PD       0:00      1 (Priority)
              1071    normal     1071    user1 PD       0:00      1 (Priority)
              1072    normal     1072    user1 PD       0:00      3 (Priority)
              1073    normal     1073    user1 PD       0:00      1 (Priority)
              1074    normal     1074    user2 PD       0:00      1 (Priority)
              1075    normal     1075    user2 PD       0:00      1 (Priority)
              1076    normal     1076    user5 PD       0:00      1 (Priority)
              1077    normal     1077    user1 PD       0:00      1 (Priority)
              1078    normal     1078    user3 PD       0:00      1 (Priority)
              1079    normal     1079    user2 PD       0:00      1 (Priority)
              1080    normal     1080    user4 PD       0:00      4 (Priority)
              1081    normal     1081    user4 PD       0:00      1 (Priority)
